[DATA]
1=(0.100, 0.095, 0.095, 0.095, 0.100)
2=(0.250, 0.250, 0.255, 0.250, 0.245)
3=(0.420, 0.425, 0.425, 0.430, 0.415)
4=(0.600, 0.600, 0.605, 0.605, 0.600)
5=(0.755, 0.755, 0.765, 0.765, 0.760)
6=(0.905, 0.900, 0.915, 0.920, 0.920)
7=(1.060, 1.070, 1.075, 1.080, 1.075)
8=(1.235, 1.245, 1.255, 1.255, 1.250)
9=(1.410, 1.420, 1.420, 1.430, 1.425)
10=(1.560, 1.555, 1.565, 1.570, 1.565)
11=(1.705, 1.705, 1.720, 1.725, 1.715, 1.705, 1.705, 1.705, 1.705, 1.705)
12=(1.865, 1.870, 1.865, 1.865, 1.865)
13=(2.010, 2.010, 2.010, 2.010, 2.010)
14=(2.160, 2.170, 2.170, 2.170, 2.170)
15=(2.300, 2.300, 2.300, 2.310, 2.300)
16=(2.460, 2.450, 2.450, 2.460, 2.470)
17=(2.590, 2.590, 2.580, 2.580, 2.580)
18=(2.740, 2.750, 2.750, 2.750, 2.750)
19=(2.870, 2.880, 2.880, 2.870, 2.870)
20=(3.030, 3.060, 3.020, 3.030, 3.020)
21=(3.160, 3.170, 3.160, 3.170, 3.160)
